image_path,memorability_score
lamem_final/00000052.jpg,0.710526
lamem_final/00000116.jpg,0.697674
lamem_final/00000126.jpg,0.829787
lamem_final/00000235.jpg,0.864865
lamem_final/00000256.jpg,0.791667
lamem_final/00000280.jpg,0.891892
lamem_final/00000485.jpg,0.764706
lamem_final/00000499.jpg,0.656250
lamem_final/00000589.jpg,0.861111
lamem_final/00000659.jpg,0.800000
lamem_final/00000699.jpg,0.900000
lamem_final/00000711.jpg,0.769231
lamem_final/00000942.jpg,0.446809
lamem_final/00000961.jpg,0.785714
lamem_final/00000974.jpg,0.690476
lamem_final/00000978.jpg,0.939394
lamem_final/00001067.jpg,0.642857
lamem_final/00001096.jpg,0.846154
lamem_final/00001245.jpg,0.750000
lamem_final/00001281.jpg,0.847826
lamem_final/00001304.jpg,0.722222
lamem_final/00001376.jpg,0.717391
lamem_final/00001422.jpg,0.700000
lamem_final/00001574.jpg,0.666667
lamem_final/00001594.jpg,0.900000
lamem_final/00001633.jpg,0.540541
lamem_final/00001681.jpg,0.697674
lamem_final/00001688.jpg,0.634615
lamem_final/00001804.jpg,0.837209
lamem_final/00001840.jpg,0.717949
lamem_final/00001880.jpg,0.828571
lamem_final/00001897.jpg,0.794872
lamem_final/00001953.jpg,0.804348
lamem_final/00002060.jpg,0.810811
lamem_final/00002071.jpg,0.853659
lamem_final/00002125.jpg,0.810811
lamem_final/00002408.jpg,0.707317
lamem_final/00002417.jpg,0.775510
lamem_final/00002449.jpg,0.848485
lamem_final/00002509.jpg,0.675000
lamem_final/00002591.jpg,0.852941
lamem_final/00002660.jpg,0.680000
lamem_final/00002688.jpg,0.860465
lamem_final/00002773.jpg,0.763158
lamem_final/00002797.jpg,0.765957
lamem_final/00002939.jpg,0.711111
lamem_final/00003009.jpg,0.860465
lamem_final/00003240.jpg,0.794118
lamem_final/00003372.jpg,0.794118
lamem_final/00003426.jpg,0.674419
lamem_final/00003467.jpg,0.590909
lamem_final/00003492.jpg,0.437500
lamem_final/00003496.jpg,0.500000
lamem_final/00003510.jpg,0.972973
lamem_final/00003713.jpg,0.904762
lamem_final/00003812.jpg,0.857143
